ablation;best_epoch_mean;best_epoch_std;best_epoch_min;best_epoch_max;val_mean_f1_mean;val_mean_f1_std;test_mean_f1_mean;test_mean_f1_std;test_mean_iou_mean;test_mean_iou_std;test_mean_iou_all_mean;test_mean_iou_all_std;test_f1_VT_mean;test_f1_VT_std;test_iou_VT_mean;test_iou_VT_std;test_f1_LP_mean;test_f1_LP_std;test_iou_LP_mean;test_iou_LP_std;test_f1_TR_mean;test_f1_TR_std;test_iou_TR_mean;test_iou_TR_std;test_f1_AV_mean;test_f1_AV_std;test_iou_AV_mean;test_iou_AV_std;test_f1_IC_mean;test_f1_IC_std;test_iou_IC_mean;test_iou_IC_std
musseg_d4_r16_s122_k51;58,0;0,0;58,0;58,0;0,9144187728800844;0,0;0,8975514127496454;0,0;0,8166393591134223;0,0;0,7054884794376415;0,0;0,9463414634146341;0,0;0,8981481481481481;0,0;0,8586387434554972;0,0;0,7522935779816514;0,0;0,9310710498409331;0,0;0,871031746031746;0,0;0,8407643312101911;0,0;0,7252747252747253;0,0;0,9109414758269719;0,0;0,8364485981308412;0,0
musseg_d4_r16_s222_k51_31_21_11;59,0;0,0;59,0;59,0;0,9172191370100455;0,0;0,8964835459492528;0,0;0,8153590667747868;0,0;0,7002791342320087;0,0;0,9484873262469338;0,0;0,9020217729393468;0,0;0,8496732026143792;0,0;0,7386363636363636;0,0;0,9259645464025026;0,0;0,8621359223300971;0,0;0,8360128617363344;0,0;0,7182320441988951;0,0;0,922279792746114;0,0;0,8557692307692307;0,0
musseg_d4_r16_s222_k11;42,0;0,0;42,0;42,0;0,8947758575574376;0,0;0,8963930354586174;0,0;0,8149613139838932;0,0;0,6836998374556709;0,0;0,9487388120423108;0,0;0,9024767801857585;0,0;0,8571428571428571;0,0;0,75;0,0;0,9272918861959959;0,0;0,8644400785854617;0,0;0,8355263157894737;0,0;0,7175141242937854;0,0;0,9132653061224489;0,0;0,8403755868544601;0,0
musseg_d4_r16_s212_k51;60,0;0,0;60,0;60,0;0,9171015286057967;0,0;0,8952410099001561;0,0;0,8132914505750952;0,0;0,7033862027902417;0,0;0,9433962264150944;0,0;0,8928571428571429;0,0;0,8526727509778358;0,0;0,7431818181818182;0,0;0,9216300940438871;0,0;0,8546511627906976;0,0;0,830670926517572;0,0;0,7103825136612022;0,0;0,9278350515463918;0,0;0,8653846153846154;0,0
musseg_pi_se_lsa_ba_dist_both;31,5;0,5;31,0;32,0;0,8990136823225516;0,005349597086598934;0,8926941792999525;0,007146933915522291;0,8082772370307947;0,011655338868016951;0,6947254393474837;0,009914847879665789;0,9327115613489839;0,010810033335401537;0,8740999356212549;0,018981825385034456;0,8670590253946465;3,774879890183769e-05;0,7653170350882822;5,881912584082549e-05;0,9323998858347238;0,0023151400720119453;0,8733694186539276;0,004062487960858341;0,8409402511184876;0,006620724491268549;0,7255928880294362;0,009856847420299186;0,8903601728029209;0,02058130302405109;0,8030069077610728;0,033441690369768406
musseg_d4_r16_s222_k21;28,0;0,0;28,0;28,0;0,9121649260216381;0,0;0,8904714608015801;0,0;0,8052012276156113;0,0;0,6981610525733931;0,0;0,943089430894309;0,0;0,8923076923076924;0,0;0,8600508905852418;0,0;0,7544642857142857;0,0;0,923913043478261;0,0;0,8585858585858586;0,0;0,8258064516129032;0,0;0,7032967032967034;0,0;0,8994974874371858;0,0;0,817351598173516;0,0
musseg_pi_se_lsa_ba_dist_attn;29,5;10,5;19,0;40,0;0,8978376337144809;0,004265874794794677;0,8896967200766401;0,005991099550720802;0,8038505819615582;0,009241989567320696;0,6871411546739741;0,008312672393569476;0,9349992907212963;0,006660528506312602;0,8780064754856614;0,011745077309369634;0,8537650755042059;0,002645180906050426;0,7448523059201053;0,004026617846710823;0,9259874725508055;0,0017612185486710064;0,8621806795634921;0,003053695436507964;0,8300976763938603;0,018776921676879166;0,709984925068724;0,027445242529041403;0,9036340852130327;0,0036340852130326007;0,8242285237698082;0,006046705587989976
musseg_pi_se_lsa_ba_dist_emb;46,5;15,5;31,0;62,0;0,8977723295168747;0,0009724783102285639;0,889460829908749;0,003920519739252615;0,8036036616499771;0,006041160051256156;0,6862448068903453;0,003159930589988924;0,9425147216612177;0,0007591843355408412;0,8912802587149855;0,001357778094830453;0,8564167816885208;0,01130808603634692;0,7490599230346344;0,01729521715228144;0,9189533053515215;0,006046694648478512;0,8501167280237047;0,010348388255364993;0,8257253050886484;0,005957863228183369;0,7032228437839192;0,008641562995741814;0,9036940357538364;0,004469229552286014;0,8243385546926418;0,007437146241937587
musseg_d4_r16_s222_k3357_d1;45,0;0,0;45,0;45,0;0,8981639159662137;0,0;0,889104424407899;0,0;0,8027591870646725;0,0;0,6687095989812191;0,0;0,9402129402129402;0,0;0,8871715610510046;0,0;0,8488830486202367;0,0;0,7374429223744292;0,0;0,923076923076923;0,0;0,8571428571428571;0,0;0,8359133126934984;0,0;0,7180851063829787;0,0;0,8974358974358975;0,0;0,813953488372093;0,0
musseg_pi_se_lsa_ba;27,8;13,25745073534124;11,0;43,0;0,9021861865063387;0,009579938094218874;0,888889430820852;0,012612556795808067;0,8029181357218377;0,020032094447137407;0,6817144694437517;0,011804107341709811;0,9368523762763126;0,009863227860321778;0,8813687790921447;0,017514812353144168;0,86529187359767;0,02181042160959552;0,7632058400468476;0,033198775006984475;0,92875715061273;0,018949046215362968;0,867562807485996;0,03236825250281029;0,8255390412368232;0,01554565792974492;0,7032078500860808;0,02258902796119038;0,8880067123807243;0,021793188559638584;0,799245401898119;0,03436118826740834
